Dataset id,SDG,BNLogLikelihood,BNLogLikelihood_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,-0.6232512274088258,0.2749790999999959,Q1000,D0
SD0Q1000_1,SD0Q1000,-0.6338073140401375,0.02991320000000286,Q1000,D0
SD0Q1000_2,SD0Q1000,-0.610259120785673,0.028048299999994697,Q1000,D0
SD0Q1000_3,SD0Q1000,-0.6200032007530375,0.03420669999999859,Q1000,D0
SD0Q1000_4,SD0Q1000,-0.6248752407367199,0.03099950000000007,Q1000,D0
SD0Q1000_5,SD0Q1000,-0.6175671807611964,0.025675200000002008,Q1000,D0
SD0Q1000_6,SD0Q1000,-0.6200032007530375,0.03676850000000087,Q1000,D0
SD0Q1000_7,SD0Q1000,-0.6297472807204022,0.03076260000000275,Q1000,D0
SD0Q1000_8,SD0Q1000,-0.6289352740564551,0.026619199999998955,Q1000,D0
SD0Q1000_9,SD0Q1000,-0.6338073140401375,0.03140040000000255,Q1000,D0
SD0Q100_0,SD0Q100,-0.754796306968248,0.028015099999997517,Q100,D0
SD0Q100_1,SD0Q100,-0.7466762403287776,0.032679999999999154,Q100,D0
SD0Q100_2,SD0Q100,-0.738556173689307,0.030723700000002907,Q100,D0
SD0Q100_3,SD0Q100,-0.7174440004266837,0.029378899999997543,Q100,D0
SD0Q100_4,SD0Q100,-0.7361201536974659,0.030537500000001216,Q100,D0
SD0Q100_5,SD0Q100,-0.724752060402207,0.02603170000000432,Q100,D0
SD0Q100_6,SD0Q100,-0.736120153697466,0.038809200000002875,Q100,D0
SD0Q100_7,SD0Q100,-0.7288120937219423,0.033608099999995034,Q100,D0
SD0Q100_8,SD0Q100,-0.7174440004266837,0.03822189999999637,Q100,D0
SD0Q100_9,SD0Q100,-0.7499242669845656,0.031202499999999134,Q100,D0
SD0Q10_0,SD0Q10,-0.7288120937219423,0.0365524999999991,Q10,D0
SD0Q10_1,SD0Q10,-0.7141959737708955,0.033859700000000714,Q10,D0
SD0Q10_2,SD0Q10,-0.7085119271232662,0.033652799999998706,Q10,D0
SD0Q10_3,SD0Q10,-0.7296241003858895,0.026549199999998052,Q10,D0
SD0Q10_4,SD0Q10,-0.7166319937627367,0.02751280000000378,Q10,D0
SD0Q10_5,SD0Q10,-0.7174440004266837,0.028837600000002794,Q10,D0
SD0Q10_6,SD0Q10,-0.7141959737708955,0.027912199999995835,Q10,D0
SD0Q10_7,SD0Q10,-0.7223160404103659,0.026241800000001092,Q10,D0
SD0Q10_8,SD0Q10,-0.689023767188537,0.03240209999999877,Q10,D0
SD0Q10_9,SD0Q10,-0.7361201536974659,0.03807149999999382,Q10,D0
SD0Q1500_0,SD0Q1500,-0.6151311607693553,0.027507700000001023,Q1500,D0
SD0Q1500_1,SD0Q1500,-0.626499254064614,0.03531310000000332,Q1500,D0
SD0Q1500_2,SD0Q1500,-0.6029510608101495,0.02816270000000287,Q1500,D0
SD0Q1500_3,SD0Q1500,-0.6167551740972493,0.03145049999999827,Q1500,D0
SD0Q1500_4,SD0Q1500,-0.6191911940890905,0.03687180000000012,Q1500,D0
SD0Q1500_5,SD0Q1500,-0.6135071474414612,0.02697380000000038,Q1500,D0
SD0Q1500_6,SD0Q1500,-0.6167551740972493,0.03353129999999993,Q1500,D0
SD0Q1500_7,SD0Q1500,-0.625687247400667,0.03127059999999915,Q1500,D0
SD0Q1500_8,SD0Q1500,-0.6240632340727729,0.03135830000000084,Q1500,D0
SD0Q1500_9,SD0Q1500,-0.6305592873843492,0.030304100000002165,Q1500,D0
SD0Q500_0,SD0Q500,-0.6362433340319785,0.031403099999998574,Q500,D0
SD0Q500_1,SD0Q500,-0.6500474473190785,0.02833869999999905,Q500,D0
SD0Q500_2,SD0Q500,-0.6354313273680315,0.032100399999997364,Q500,D0
SD0Q500_3,SD0Q500,-0.643551394007502,0.02839689999999706,Q500,D0
SD0Q500_4,SD0Q500,-0.6467994206632902,0.028723599999999294,Q500,D0
SD0Q500_5,SD0Q500,-0.6516714606469726,0.03276809999999841,Q500,D0
SD0Q500_6,SD0Q500,-0.6541074806388137,0.030250500000001068,Q500,D0
SD0Q500_7,SD0Q500,-0.6606035339503901,0.029898699999996836,Q500,D0
SD0Q500_8,SD0Q500,-0.6467994206632902,0.03458750000000066,Q500,D0
SD0Q500_9,SD0Q500,-0.6516714606469726,0.027800599999999065,Q500,D0
SD1Q1000_0,SD1Q1000,-7.000037327851064,0.08144190000000151,Q1000,D1
SD1Q1000_1,SD1Q1000,-6.552606471050218,0.06367939999999805,Q1000,D1
SD1Q1000_2,SD1Q1000,-6.576981711105012,0.0672852000000006,Q1000,D1
SD1Q1000_3,SD1Q1000,-7.022673906069734,0.07659300000000258,Q1000,D1
SD1Q1000_4,SD1Q1000,-6.965991352549864,0.06641030000000114,Q1000,D1
SD1Q1000_5,SD1Q1000,-6.905060827729596,0.06673059999999964,Q1000,D1
SD1Q1000_6,SD1Q1000,-7.004968531915419,0.09408810000000045,Q1000,D1
SD1Q1000_7,SD1Q1000,-6.956968225481811,0.0633787999999953,Q1000,D1
SD1Q1000_8,SD1Q1000,-6.9435727319628615,0.0652642999999955,Q1000,D1
SD1Q1000_9,SD1Q1000,-6.802844920178429,0.06424609999999831,Q1000,D1
SD1Q100_0,SD1Q100,-6.221792850710912,0.06155610000000422,Q100,D1
SD1Q100_1,SD1Q100,-6.418460260449497,0.06484760000000023,Q100,D1
SD1Q100_2,SD1Q100,-6.185220557381374,0.06380810000000281,Q100,D1
SD1Q100_3,SD1Q100,-6.230663816879358,0.06456170000000583,Q100,D1
SD1Q100_4,SD1Q100,-6.200113450109148,0.0701628999999997,Q100,D1
SD1Q100_5,SD1Q100,-6.090277309611206,0.06768759999999929,Q100,D1
SD1Q100_6,SD1Q100,-6.572196014278999,0.06483070000000168,Q100,D1
SD1Q100_7,SD1Q100,-5.965674675647828,0.062493099999997526,Q100,D1
SD1Q100_8,SD1Q100,-6.293061231075252,0.06983550000000349,Q100,D1
