Dataset id,SDG,Cluster_G_1,Cluster_G_1_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,2.7780055030645046,99.0905853,Q1000,D0
SD0Q1000_1,SD0Q1000,2.589754108822777,85.3902251,Q1000,D0
SD0Q1000_2,SD0Q1000,3.154691085454195,75.02919490000002,Q1000,D0
SD0Q1000_3,SD0Q1000,2.6628798777669473,94.21524149999999,Q1000,D0
SD0Q1000_4,SD0Q1000,2.284705179681267,89.74104730000005,Q1000,D0
SD0Q1000_5,SD0Q1000,2.110674435604803,86.29725480000002,Q1000,D0
SD0Q1000_6,SD0Q1000,2.446583461638348,84.67134490000001,Q1000,D0
SD0Q1000_7,SD0Q1000,2.4827142182806994,84.04000020000001,Q1000,D0
SD0Q1000_8,SD0Q1000,1.9590635358537716,84.77574179999999,Q1000,D0
SD0Q1000_9,SD0Q1000,1.6958992613823338,77.67250290000004,Q1000,D0
SD0Q100_0,SD0Q100,16.706996052781214,82.93335319999994,Q100,D0
SD0Q100_1,SD0Q100,11.22498812486869,82.68605160000004,Q100,D0
SD0Q100_2,SD0Q100,14.103525121353677,79.87276249999991,Q100,D0
SD0Q100_3,SD0Q100,13.085916688202488,85.16171250000002,Q100,D0
SD0Q100_4,SD0Q100,12.49341023478901,82.14918499999999,Q100,D0
SD0Q100_5,SD0Q100,14.127546353705972,82.52374200000008,Q100,D0
SD0Q100_6,SD0Q100,12.731975153185505,81.57554600000003,Q100,D0
SD0Q100_7,SD0Q100,13.679032321627956,75.99484299999995,Q100,D0
SD0Q100_8,SD0Q100,14.012817629353158,85.47893060000001,Q100,D0
SD0Q100_9,SD0Q100,15.21004361691051,78.4443583000002,Q100,D0
SD0Q10_0,SD0Q10,12.706218498128713,72.69476490000011,Q10,D0
SD0Q10_1,SD0Q10,11.754159070222475,72.44322250000005,Q10,D0
SD0Q10_2,SD0Q10,11.941012480219545,79.92603439999993,Q10,D0
SD0Q10_3,SD0Q10,11.892678659247236,81.13931039999989,Q10,D0
SD0Q10_4,SD0Q10,13.554407188074968,78.20687810000004,Q10,D0
SD0Q10_5,SD0Q10,11.804507632986196,75.69565820000025,Q10,D0
SD0Q10_6,SD0Q10,11.058663400062846,80.27278339999975,Q10,D0
SD0Q10_7,SD0Q10,12.459076252515924,80.49961409999969,Q10,D0
SD0Q10_8,SD0Q10,12.895931908561789,78.33261730000004,Q10,D0
SD0Q10_9,SD0Q10,10.941244286699826,79.72213950000014,Q10,D0
SD0Q1500_0,SD0Q1500,1.5117785348181774,76.05056839999997,Q1500,D0
SD0Q1500_1,SD0Q1500,1.8400891479729635,79.33930220000002,Q1500,D0
SD0Q1500_2,SD0Q1500,1.5630410221640683,82.32862690000002,Q1500,D0
SD0Q1500_3,SD0Q1500,1.5868338405695972,83.73761460000014,Q1500,D0
SD0Q1500_4,SD0Q1500,2.4050027306010833,79.56113080000023,Q1500,D0
SD0Q1500_5,SD0Q1500,1.560125789682576,85.38106709999965,Q1500,D0
SD0Q1500_6,SD0Q1500,1.3211944384064238,79.67741569999998,Q1500,D0
SD0Q1500_7,SD0Q1500,1.903180831053465,85.79431330000034,Q1500,D0
SD0Q1500_8,SD0Q1500,1.2813564473459056,82.73690840000017,Q1500,D0
SD0Q1500_9,SD0Q1500,1.2352328085538145,89.43125330000021,Q1500,D0
SD0Q500_0,SD0Q500,4.91743173689298,81.85303010000007,Q500,D0
SD0Q500_1,SD0Q500,5.696969540049144,81.13700659999995,Q500,D0
SD0Q500_2,SD0Q500,4.519579006175367,77.37953199999993,Q500,D0
SD0Q500_3,SD0Q500,5.330001249149,83.22876670000005,Q500,D0
SD0Q500_4,SD0Q500,4.061432446006292,81.05229129999998,Q500,D0
SD0Q500_5,SD0Q500,3.9779410015928214,80.07838899999979,Q500,D0
SD0Q500_6,SD0Q500,5.6728429091498365,75.39753210000026,Q500,D0
SD0Q500_7,SD0Q500,4.944853345671658,80.6865799000002,Q500,D0
SD0Q500_8,SD0Q500,5.441563446353427,80.39966709999999,Q500,D0
SD0Q500_9,SD0Q500,6.043320327964125,81.36334889999989,Q500,D0
SD1Q1000_0,SD1Q1000,3.970228615792556,40.378621400000156,Q1000,D1
SD1Q1000_1,SD1Q1000,3.3643405408553297,39.93646230000013,Q1000,D1
SD1Q1000_2,SD1Q1000,2.992645908150294,39.80876480000006,Q1000,D1
SD1Q1000_3,SD1Q1000,3.021245330718374,40.117508700000144,Q1000,D1
SD1Q1000_4,SD1Q1000,3.9819116226296867,40.96377070000017,Q1000,D1
SD1Q1000_5,SD1Q1000,3.5111457035293423,44.775983199999246,Q1000,D1
SD1Q1000_6,SD1Q1000,3.3703367643532496,50.84890710000036,Q1000,D1
SD1Q1000_7,SD1Q1000,2.069035297275643,45.44303990000026,Q1000,D1
SD1Q1000_8,SD1Q1000,3.3418022540037082,46.29265779999969,Q1000,D1
SD1Q1000_9,SD1Q1000,2.9878173227846045,46.92340669999976,Q1000,D1
SD1Q100_0,SD1Q100,5.356456996982478,45.89268869999978,Q100,D1
SD1Q100_1,SD1Q100,4.5764575985456855,48.18882769999982,Q100,D1
SD1Q100_2,SD1Q100,4.185577118251187,48.221114100000705,Q100,D1
SD1Q100_3,SD1Q100,4.352739096528964,37.66249299999981,Q100,D1
SD1Q100_4,SD1Q100,6.287266152845891,34.000122000000374,Q100,D1
SD1Q100_5,SD1Q100,5.034625592842238,34.26723959999981,Q100,D1
SD1Q100_6,SD1Q100,5.944380844497385,33.811601399999745,Q100,D1
SD1Q100_7,SD1Q100,4.18691447211594,33.66586200000074,Q100,D1
SD1Q100_8,SD1Q100,7.49112849135274,34.03232180000032,Q100,D1
SD1Q100_9,SD1Q100,5.27131091493749,34.41774929999974,Q100,D1
SD1Q10_0,SD1Q10,11.447543552062205,47.046090700000605,Q10,D1
