Dataset id,SDG,ContinousKLDivergence,ContinousKLDivergence_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,0.5757498428095803,0.0967307000000001,Q1000,D0
SD0Q1000_1,SD0Q1000,0.5912506934977942,0.1779752999999999,Q1000,D0
SD0Q1000_2,SD0Q1000,0.6013553599491371,0.0775792000000006,Q1000,D0
SD0Q1000_3,SD0Q1000,0.5786928361887866,0.0867286000000007,Q1000,D0
SD0Q1000_4,SD0Q1000,0.5831253986307372,0.0980245999999995,Q1000,D0
SD0Q1000_5,SD0Q1000,0.6027825730570989,0.0864972000000001,Q1000,D0
SD0Q1000_6,SD0Q1000,0.5975690431876564,0.0685115999999999,Q1000,D0
SD0Q1000_7,SD0Q1000,0.5808361498828678,0.0789466999999994,Q1000,D0
SD0Q1000_8,SD0Q1000,0.5853012814550057,0.0824664000000003,Q1000,D0
SD0Q1000_9,SD0Q1000,0.5783317216181463,0.1183163,Q1000,D0
SD0Q100_0,SD0Q100,0.5165155294909954,0.1098942999999996,Q100,D0
SD0Q100_1,SD0Q100,0.5127447859305817,0.0966852999999998,Q100,D0
SD0Q100_2,SD0Q100,0.5370326354336826,0.1271264000000007,Q100,D0
SD0Q100_3,SD0Q100,0.5246696346932,0.1664368000000013,Q100,D0
SD0Q100_4,SD0Q100,0.5408932470145127,0.1039843999999998,Q100,D0
SD0Q100_5,SD0Q100,0.5294385811218577,0.1142928000000012,Q100,D0
SD0Q100_6,SD0Q100,0.5370608631617204,0.0836797000000011,Q100,D0
SD0Q100_7,SD0Q100,0.5261315011228824,0.0894116,Q100,D0
SD0Q100_8,SD0Q100,0.5190852151523035,0.0858616999999988,Q100,D0
SD0Q100_9,SD0Q100,0.5251770724985011,0.0858168999999993,Q100,D0
SD0Q10_0,SD0Q10,0.4238347727094913,0.0882159999999991,Q10,D0
SD0Q10_1,SD0Q10,0.4240702707648275,0.081662399999999,Q10,D0
SD0Q10_2,SD0Q10,0.4295070207355559,0.0863451000000008,Q10,D0
SD0Q10_3,SD0Q10,0.4382754970885515,0.0984774000000001,Q10,D0
SD0Q10_4,SD0Q10,0.4059038170596362,0.0944629999999993,Q10,D0
SD0Q10_5,SD0Q10,0.4134766468412011,0.0939807999999988,Q10,D0
SD0Q10_6,SD0Q10,0.4173656825373061,0.0908703000000006,Q10,D0
SD0Q10_7,SD0Q10,0.4122080101253544,0.0903653000000002,Q10,D0
SD0Q10_8,SD0Q10,0.4333342346175344,0.0831695000000003,Q10,D0
SD0Q10_9,SD0Q10,0.4150136889400269,0.0876871999999995,Q10,D0
SD0Q1500_0,SD0Q1500,0.5734446648794439,0.0952280999999999,Q1500,D0
SD0Q1500_1,SD0Q1500,0.5659330707759666,0.0924425000000006,Q1500,D0
SD0Q1500_2,SD0Q1500,0.5822448990358443,0.0860804000000001,Q1500,D0
SD0Q1500_3,SD0Q1500,0.5872160698246234,0.0887628999999989,Q1500,D0
SD0Q1500_4,SD0Q1500,0.5728087844035009,0.0924685000000007,Q1500,D0
SD0Q1500_5,SD0Q1500,0.5689800433787833,0.0877461000000003,Q1500,D0
SD0Q1500_6,SD0Q1500,0.5581044194209658,0.1061257999999991,Q1500,D0
SD0Q1500_7,SD0Q1500,0.5460273443343416,0.0878700999999999,Q1500,D0
SD0Q1500_8,SD0Q1500,0.5815998554920917,0.1019402999999989,Q1500,D0
SD0Q1500_9,SD0Q1500,0.5798766058701158,0.0925655000000009,Q1500,D0
SD0Q500_0,SD0Q500,0.5395638557863751,0.0822628000000005,Q500,D0
SD0Q500_1,SD0Q500,0.5282745989152121,0.0826939000000006,Q500,D0
SD0Q500_2,SD0Q500,0.5347918660671257,0.0829195000000009,Q500,D0
SD0Q500_3,SD0Q500,0.5515551681876611,0.1173456000000001,Q500,D0
SD0Q500_4,SD0Q500,0.5383712284912454,0.0816441000000001,Q500,D0
SD0Q500_5,SD0Q500,0.5481172357952275,0.104636300000001,Q500,D0
SD0Q500_6,SD0Q500,0.5244603001022797,0.0940055999999991,Q500,D0
SD0Q500_7,SD0Q500,0.5389579325561474,0.0950613999999987,Q500,D0
SD0Q500_8,SD0Q500,0.5341722295583385,0.0939902999999997,Q500,D0
SD0Q500_9,SD0Q500,0.5248925366252223,0.0962262000000002,Q500,D0
SD1Q1000_0,SD1Q1000,0.731412352667419,0.0163173000000007,Q1000,D1
SD1Q1000_1,SD1Q1000,0.7081398069067247,0.0196982999999999,Q1000,D1
SD1Q1000_2,SD1Q1000,0.696999288784411,0.0166333999999999,Q1000,D1
SD1Q1000_3,SD1Q1000,0.7133151062129484,0.0289872999999989,Q1000,D1
SD1Q1000_4,SD1Q1000,0.7442753044162989,0.0210436999999998,Q1000,D1
SD1Q1000_5,SD1Q1000,0.7395486013456,0.016808000000001,Q1000,D1
SD1Q1000_6,SD1Q1000,0.7241003189076064,0.0155643999999988,Q1000,D1
SD1Q1000_7,SD1Q1000,0.7451356224900745,0.0227548999999989,Q1000,D1
SD1Q1000_8,SD1Q1000,0.7322514938804946,0.0270308000000003,Q1000,D1
SD1Q1000_9,SD1Q1000,0.7261157043738105,0.0200058999999992,Q1000,D1
SD1Q100_0,SD1Q100,0.726121539596102,0.0219247000000013,Q100,D1
SD1Q100_1,SD1Q100,0.6854702602033996,0.0304960000000011,Q100,D1
SD1Q100_2,SD1Q100,0.7083333791222005,0.0214284000000013,Q100,D1
SD1Q100_3,SD1Q100,0.6379975779560448,0.0198126999999992,Q100,D1
SD1Q100_4,SD1Q100,0.6650555771712089,0.0198364999999984,Q100,D1
SD1Q100_5,SD1Q100,0.7114247099995731,0.0202902999999992,Q100,D1
SD1Q100_6,SD1Q100,0.6916347968189512,0.0224181999999988,Q100,D1
SD1Q100_7,SD1Q100,0.6758497072096045,0.021014899999999,Q100,D1
SD1Q100_8,SD1Q100,0.6650714304414711,0.0571573999999994,Q100,D1
SD1Q100_9,SD1Q100,0.6592113620987264,0.0398920999999994,Q100,D1
SD1Q10_0,SD1Q10,0.2338219724693357,0.0301978000000016,Q10,D1
SD1Q10_1,SD1Q10,0.2398738493767027,0.0221991999999993,Q10,D1
SD1Q10_2,SD1Q10,0.2398506643124191,0.0191219999999994,Q10,D1
SD1Q10_3,SD1Q10,0.2352234430394586,0.0245432000000001,Q10,D1
SD1Q10_4,SD1Q10,0.245133696493842,0.0198055000000003,Q10,D1
SD1Q10_5,SD1Q10,0.2370213503980905,0.0193591000000008,Q10,D1
SD1Q10_6,SD1Q10,0.2472589604271025,0.0202618000000001,Q10,D1
SD1Q10_7,SD1Q10,0.2450985346418787,0.0269100000000008,Q10,D1
SD1Q10_8,SD1Q10,0.2370336980047558,0.017476199999999,Q10,D1
SD1Q10_9,SD1Q10,0.2431851480924969,0.0210384000000001,Q10,D1
SD1Q1500_0,SD1Q1500,0.7073906135894837,0.0273323999999988,Q1500,D1
SD1Q1500_1,SD1Q1500,0.7202212107876393,0.0226009999999998,Q1500,D1
SD1Q1500_2,SD1Q1500,0.7212071288920029,0.0187217999999997,Q1500,D1
SD1Q1500_3,SD1Q1500,0.6995541027735516,0.0209745999999988,Q1500,D1
SD1Q1500_4,SD1Q1500,0.7019696025063819,0.0175893999999985,Q1500,D1
SD1Q1500_5,SD1Q1500,0.6910160809396425,0.0258436999999993,Q1500,D1
SD1Q1500_6,SD1Q1500,0.7246803524997391,0.0295546999999984,Q1500,D1
SD1Q1500_7,SD1Q1500,0.6785650652878532,0.0340898999999996,Q1500,D1
SD1Q1500_8,SD1Q1500,0.6345314066115095,0.0194556000000005,Q1500,D1
SD1Q1500_9,SD1Q1500,0.7159584709371059,0.0146697000000006,Q1500,D1
SD1Q500_0,SD1Q500,0.5311649869746204,0.0152781000000015,Q500,D1
SD1Q500_1,SD1Q500,0.5326988707273171,0.0219477999999995,Q500,D1
SD1Q500_2,SD1Q500,0.5267304192845778,0.0179591999999999,Q500,D1
SD1Q500_3,SD1Q500,0.5464738810635051,0.0223394999999992,Q500,D1
SD1Q500_4,SD1Q500,0.5302765734300144,0.0205578000000006,Q500,D1
SD1Q500_5,SD1Q500,0.5055786445724485,0.0228563000000008,Q500,D1
SD1Q500_6,SD1Q500,0.5199217634788953,0.0236115000000012,Q500,D1
SD1Q500_7,SD1Q500,0.5455679907464579,0.0209422999999997,Q500,D1
SD1Q500_8,SD1Q500,0.504721449055639,0.0232872999999997,Q500,D1
SD1Q500_9,SD1Q500,0.530185128664246,0.0211466999999991,Q500,D1
SD205Q1000_0,SD205Q1000,0.8859092898850799,0.0691486000000001,Q1000,D205
SD205Q1000_1,SD205Q1000,0.8832936081954988,0.0641708999999988,Q1000,D205
SD205Q1000_2,SD205Q1000,0.8888055390917434,0.0684341999999986,Q1000,D205
SD205Q1000_3,SD205Q1000,0.8898886138337778,0.0638379000000011,Q1000,D205
SD205Q1000_4,SD205Q1000,0.8888789159891158,0.061349400000001,Q1000,D205
SD205Q1000_5,SD205Q1000,0.8885260714282881,0.0693034000000007,Q1000,D205
SD205Q1000_6,SD205Q1000,0.888870711401939,0.0682172999999988,Q1000,D205
SD205Q1000_7,SD205Q1000,0.8891381078842697,0.0652729999999994,Q1000,D205
SD205Q1000_8,SD205Q1000,0.8874607183212524,0.0791883999999996,Q1000,D205
SD205Q1000_9,SD205Q1000,0.8835032472884647,0.0745377999999998,Q1000,D205
SD205Q100_0,SD205Q100,0.8613344629893327,0.0734978000000001,Q100,D205
SD205Q100_1,SD205Q100,0.8629429262401639,0.0595295,Q100,D205
SD205Q100_2,SD205Q100,0.8513258851232014,0.0668024000000002,Q100,D205
SD205Q100_3,SD205Q100,0.8543960084678239,0.0801987000000004,Q100,D205
SD205Q100_4,SD205Q100,0.854860174888069,0.0676152000000005,Q100,D205
SD205Q100_5,SD205Q100,0.8652774576841749,0.0782185999999995,Q100,D205
SD205Q100_6,SD205Q100,0.8631999251581485,0.0705965000000006,Q100,D205
SD205Q100_7,SD205Q100,0.8676906320248328,0.0967661999999975,Q100,D205
SD205Q100_8,SD205Q100,0.8653674682773116,0.0830085000000018,Q100,D205
SD205Q100_9,SD205Q100,0.8623777379106973,0.0777102999999996,Q100,D205
SD205Q10_0,SD205Q10,0.7050917517052242,0.1248423999999985,Q10,D205
SD205Q10_1,SD205Q10,0.7019007312763337,0.0775375999999994,Q10,D205
SD205Q10_2,SD205Q10,0.7064949793318961,0.0777949000000006,Q10,D205
SD205Q10_3,SD205Q10,0.687672854436545,0.0905949000000028,Q10,D205
SD205Q10_4,SD205Q10,0.695746156783109,0.1147550000000023,Q10,D205
SD205Q10_5,SD205Q10,0.693806623421759,0.0913433999999995,Q10,D205
SD205Q10_6,SD205Q10,0.707476265646805,0.0807801000000019,Q10,D205
SD205Q10_7,SD205Q10,0.7012953293271177,0.0840399000000005,Q10,D205
SD205Q10_8,SD205Q10,0.6915128978523354,0.0700132000000017,Q10,D205
SD205Q10_9,SD205Q10,0.69210052742055,0.0666837999999998,Q10,D205
SD205Q1500_0,SD205Q1500,0.8507277675463055,0.0642726000000024,Q1500,D205
SD205Q1500_1,SD205Q1500,0.8573966878427783,0.0694654999999997,Q1500,D205
SD205Q1500_2,SD205Q1500,0.8520574864520266,0.0601529999999996,Q1500,D205
SD205Q1500_3,SD205Q1500,0.8409564126571321,0.0639697999999988,Q1500,D205
SD205Q1500_4,SD205Q1500,0.8474840277813532,0.0701128000000004,Q1500,D205
SD205Q1500_5,SD205Q1500,0.8644909800873203,0.0649977999999968,Q1500,D205
SD205Q1500_6,SD205Q1500,0.851902441063308,0.0587716999999976,Q1500,D205
SD205Q1500_7,SD205Q1500,0.8481811672727108,0.0664516000000006,Q1500,D205
SD205Q1500_8,SD205Q1500,0.8596457175664686,0.0744682999999994,Q1500,D205
SD205Q1500_9,SD205Q1500,0.8537579526892409,0.0625399000000008,Q1500,D205
SD205Q500_0,SD205Q500,0.870322250096006,0.0545531999999973,Q500,D205
SD205Q500_1,SD205Q500,0.8686155745244397,0.0730038000000021,Q500,D205
SD205Q500_2,SD205Q500,0.8739605363109749,0.0605909000000011,Q500,D205
