Dataset id,SDG,DiscreteKLDivergence,DiscreteKLDivergence_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,,0.0021950999999944543,Q1000,D0
SD0Q1000_1,SD0Q1000,,0.0003585999999984324,Q1000,D0
SD0Q1000_2,SD0Q1000,,0.0003637000000082935,Q1000,D0
SD0Q1000_3,SD0Q1000,,0.00045420000000717664,Q1000,D0
SD0Q1000_4,SD0Q1000,,0.0003643000000010943,Q1000,D0
SD0Q1000_5,SD0Q1000,,0.00036360000000001946,Q1000,D0
SD0Q1000_6,SD0Q1000,,0.0003523000000029697,Q1000,D0
SD0Q1000_7,SD0Q1000,,0.0008099000000072465,Q1000,D0
SD0Q1000_8,SD0Q1000,,0.00035150000000783166,Q1000,D0
SD0Q1000_9,SD0Q1000,,0.00048710000000085074,Q1000,D0
SD0Q100_0,SD0Q100,,0.0005701999999985219,Q100,D0
SD0Q100_1,SD0Q100,,0.0003628999999989446,Q100,D0
SD0Q100_2,SD0Q100,,0.0007655999999940377,Q100,D0
SD0Q100_3,SD0Q100,,0.00041319999999700485,Q100,D0
SD0Q100_4,SD0Q100,,0.0003966999999960308,Q100,D0
SD0Q100_5,SD0Q100,,0.0009442000000063899,Q100,D0
SD0Q100_6,SD0Q100,,0.00048110000000178843,Q100,D0
SD0Q100_7,SD0Q100,,0.0007449999999948886,Q100,D0
SD0Q100_8,SD0Q100,,0.0003520000000065693,Q100,D0
SD0Q100_9,SD0Q100,,0.0006177000000064936,Q100,D0
SD0Q10_0,SD0Q10,,0.0005925999999902842,Q10,D0
SD0Q10_1,SD0Q10,,0.0003642000000070311,Q10,D0
SD0Q10_2,SD0Q10,,0.0007097000000015896,Q10,D0
SD0Q10_3,SD0Q10,,0.0004952000000031376,Q10,D0
SD0Q10_4,SD0Q10,,0.0003517999999900212,Q10,D0
SD0Q10_5,SD0Q10,,0.00035579999999413303,Q10,D0
SD0Q10_6,SD0Q10,,0.0003719000000046435,Q10,D0
SD0Q10_7,SD0Q10,,0.0003689999999920701,Q10,D0
SD0Q10_8,SD0Q10,,0.00035189999999829524,Q10,D0
SD0Q10_9,SD0Q10,,0.0003513999999995576,Q10,D0
SD0Q1500_0,SD0Q1500,,0.0003492000000022699,Q1500,D0
SD0Q1500_1,SD0Q1500,,0.0007188999999954149,Q1500,D0
SD0Q1500_2,SD0Q1500,,0.0004856000000046379,Q1500,D0
SD0Q1500_3,SD0Q1500,,0.00039560000000449236,Q1500,D0
SD0Q1500_4,SD0Q1500,,0.00047090000001048793,Q1500,D0
SD0Q1500_5,SD0Q1500,,0.0007940999999931364,Q1500,D0
SD0Q1500_6,SD0Q1500,,0.0003588000000007696,Q1500,D0
SD0Q1500_7,SD0Q1500,,0.00035599999999647025,Q1500,D0
SD0Q1500_8,SD0Q1500,,0.0004135000000076161,Q1500,D0
SD0Q1500_9,SD0Q1500,,0.0004038000000008424,Q1500,D0
SD0Q500_0,SD0Q500,,0.00036710000000539367,Q500,D0
SD0Q500_1,SD0Q500,,0.0003872999999998683,Q500,D0
SD0Q500_2,SD0Q500,,0.0009314999999929796,Q500,D0
SD0Q500_3,SD0Q500,,0.0006968000000000529,Q500,D0
SD0Q500_4,SD0Q500,,0.000552200000001335,Q500,D0
SD0Q500_5,SD0Q500,,0.00042609999999854153,Q500,D0
SD0Q500_6,SD0Q500,,0.0007532999999995127,Q500,D0
SD0Q500_7,SD0Q500,,0.0004551000000105887,Q500,D0
SD0Q500_8,SD0Q500,,0.0004385999999954038,Q500,D0
SD0Q500_9,SD0Q500,,0.000373899999999594,Q500,D0
SD1Q1000_0,SD1Q1000,0.8149603911071918,0.02854510000000232,Q1000,D1
SD1Q1000_1,SD1Q1000,0.8348496617679032,0.02586949999999888,Q1000,D1
SD1Q1000_2,SD1Q1000,0.8332037466943953,0.0282224000000042,Q1000,D1
SD1Q1000_3,SD1Q1000,0.8187015344802809,0.02228139999999712,Q1000,D1
SD1Q1000_4,SD1Q1000,0.8258656214039153,0.03199049999999204,Q1000,D1
SD1Q1000_5,SD1Q1000,0.8157768336772179,0.04028830000000028,Q1000,D1
SD1Q1000_6,SD1Q1000,0.8065806937545663,0.0282009999999957,Q1000,D1
SD1Q1000_7,SD1Q1000,0.8316875813496244,0.029072999999996796,Q1000,D1
SD1Q1000_8,SD1Q1000,0.813066666315245,0.02341429999999889,Q1000,D1
SD1Q1000_9,SD1Q1000,0.8279046709506224,0.02381069999999852,Q1000,D1
SD1Q100_0,SD1Q100,0.8088822455457454,0.03020579999999029,Q100,D1
SD1Q100_1,SD1Q100,0.8033726520583899,0.023855199999999854,Q100,D1
SD1Q100_2,SD1Q100,0.8107260338424048,0.028412100000011264,Q100,D1
SD1Q100_3,SD1Q100,0.8102944209342787,0.022861599999998816,Q100,D1
SD1Q100_4,SD1Q100,0.8018412399970346,0.03133389999999281,Q100,D1
SD1Q100_5,SD1Q100,0.8242481013436656,0.025604399999991756,Q100,D1
SD1Q100_6,SD1Q100,0.8015450782455151,0.028267499999998336,Q100,D1
SD1Q100_7,SD1Q100,0.8222375768601673,0.02835890000000063,Q100,D1
SD1Q100_8,SD1Q100,0.8149074683506136,0.026426499999999464,Q100,D1
SD1Q100_9,SD1Q100,0.8046969795762781,0.02600739999999746,Q100,D1
SD1Q10_0,SD1Q10,0.5330709568810772,0.02541349999999909,Q10,D1
SD1Q10_1,SD1Q10,0.5195575696647412,0.02394750000000556,Q10,D1
SD1Q10_2,SD1Q10,0.529127976174008,0.024805599999993433,Q10,D1
SD1Q10_3,SD1Q10,0.539368425605088,0.020617700000002515,Q10,D1
SD1Q10_4,SD1Q10,0.5271936246228368,0.023466700000000174,Q10,D1
SD1Q10_5,SD1Q10,0.5242734738241843,0.024989000000005035,Q10,D1
SD1Q10_6,SD1Q10,0.5254271881477981,0.022429800000011824,Q10,D1
SD1Q10_7,SD1Q10,0.5211515867381651,0.02051469999999256,Q10,D1
SD1Q10_8,SD1Q10,0.5254213683906162,0.023628400000006877,Q10,D1
SD1Q10_9,SD1Q10,0.5379435147170137,0.03049280000000465,Q10,D1
SD1Q1500_0,SD1Q1500,0.8508975289150467,0.024551000000002432,Q1500,D1
SD1Q1500_1,SD1Q1500,0.850644673894314,0.021805799999995656,Q1500,D1
SD1Q1500_2,SD1Q1500,0.8544906222483085,0.023434500000007574,Q1500,D1
SD1Q1500_3,SD1Q1500,0.8466445220491883,0.024500000000003297,Q1500,D1
SD1Q1500_4,SD1Q1500,0.856112993978598,0.021764499999989084,Q1500,D1
SD1Q1500_5,SD1Q1500,0.8507389269409102,0.022958799999997836,Q1500,D1
SD1Q1500_6,SD1Q1500,0.8568498767589532,0.021188499999993837,Q1500,D1
SD1Q1500_7,SD1Q1500,0.8649908771869145,0.024992699999998536,Q1500,D1
SD1Q1500_8,SD1Q1500,0.8418200134084293,0.020855699999998478,Q1500,D1
SD1Q1500_9,SD1Q1500,0.847014115374467,0.025537400000004595,Q1500,D1
SD1Q500_0,SD1Q500,0.8210511347215881,0.02612750000000119,Q500,D1
SD1Q500_1,SD1Q500,0.8142611095737153,0.023933199999987664,Q500,D1
SD1Q500_2,SD1Q500,0.8108016898089581,0.025843599999987532,Q500,D1
SD1Q500_3,SD1Q500,0.818021497348546,0.0254454000000095,Q500,D1
SD1Q500_4,SD1Q500,0.8193095719124319,0.02572399999999675,Q500,D1
SD1Q500_5,SD1Q500,0.8093462866367981,0.021187499999996362,Q500,D1
