Dataset id,SDG,GMLogLikelihood,GMLogLikelihood_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,-28.747102922149267,1.3799435999999998,Q1000,D0
SD0Q1000_1,SD0Q1000,-29.07391557907651,1.3174136999999995,Q1000,D0
SD0Q1000_2,SD0Q1000,-28.65990336208054,1.3802418000000003,Q1000,D0
SD0Q1000_3,SD0Q1000,-28.73562899961553,1.3318719000000012,Q1000,D0
SD0Q1000_4,SD0Q1000,-29.21993231811696,1.5316810999999984,Q1000,D0
SD0Q1000_5,SD0Q1000,-28.00554768668683,1.3000316000000005,Q1000,D0
SD0Q1000_6,SD0Q1000,-28.203803952186018,1.2474664999999998,Q1000,D0
SD0Q1000_7,SD0Q1000,-28.567523474400385,1.3499686000000004,Q1000,D0
SD0Q1000_8,SD0Q1000,-28.48933794874881,1.2604636000000013,Q1000,D0
SD0Q1000_9,SD0Q1000,-28.38792620239087,1.250330899999998,Q1000,D0
SD0Q100_0,SD0Q100,-29.411844912890217,1.2652903000000002,Q100,D0
SD0Q100_1,SD0Q100,-29.703212418335582,1.2966237000000014,Q100,D0
SD0Q100_2,SD0Q100,-29.10404416186366,1.3361215000000009,Q100,D0
SD0Q100_3,SD0Q100,-29.9692966604851,1.4356942000000004,Q100,D0
SD0Q100_4,SD0Q100,-29.123600931791866,1.3402871000000012,Q100,D0
SD0Q100_5,SD0Q100,-29.198919061414912,1.5430300999999993,Q100,D0
SD0Q100_6,SD0Q100,-29.06608275822696,1.5788780000000031,Q100,D0
SD0Q100_7,SD0Q100,-29.42308621026974,1.8031264,Q100,D0
SD0Q100_8,SD0Q100,-29.65672642755115,1.4573588000000015,Q100,D0
SD0Q100_9,SD0Q100,-29.34741711181485,1.4460775000000012,Q100,D0
SD0Q10_0,SD0Q10,-33.89040335582825,1.4388385000000028,Q10,D0
SD0Q10_1,SD0Q10,-34.68081242410451,1.4437647999999967,Q10,D0
SD0Q10_2,SD0Q10,-33.895296586495306,1.2599592000000044,Q10,D0
SD0Q10_3,SD0Q10,-33.32993216896553,1.4703812999999997,Q10,D0
SD0Q10_4,SD0Q10,-34.433594633146136,1.2320046000000033,Q10,D0
SD0Q10_5,SD0Q10,-34.39887974916601,1.4794443000000044,Q10,D0
SD0Q10_6,SD0Q10,-34.31398714164062,1.6100443000000055,Q10,D0
SD0Q10_7,SD0Q10,-33.616768020285,1.6514734999999945,Q10,D0
SD0Q10_8,SD0Q10,-33.06682264568774,1.4978928000000025,Q10,D0
SD0Q10_9,SD0Q10,-33.99656673650338,1.5832936999999987,Q10,D0
SD0Q1500_0,SD0Q1500,-29.423847891634164,1.588866700000004,Q1500,D0
SD0Q1500_1,SD0Q1500,-29.19450864665491,1.5625210999999979,Q1500,D0
SD0Q1500_2,SD0Q1500,-29.101793166564306,1.3419547999999963,Q1500,D0
SD0Q1500_3,SD0Q1500,-28.958993498752438,1.3899627999999993,Q1500,D0
SD0Q1500_4,SD0Q1500,-29.773035089690584,1.4708894999999984,Q1500,D0
SD0Q1500_5,SD0Q1500,-29.35504736083335,1.5406256999999997,Q1500,D0
SD0Q1500_6,SD0Q1500,-29.654920964594723,1.6389548000000005,Q1500,D0
