Dataset id,SDG,KSComplement,KSComplement_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,0.8763020833333334,0.005992400000000231,Q1000,D0
SD0Q1000_1,SD0Q1000,0.8662109375,0.005054600000000242,Q1000,D0
SD0Q1000_2,SD0Q1000,0.8741861979166667,0.005245799999999967,Q1000,D0
SD0Q1000_3,SD0Q1000,0.8662109375000001,0.005412699999999937,Q1000,D0
SD0Q1000_4,SD0Q1000,0.8717447916666666,0.006788800000000705,Q1000,D0
SD0Q1000_5,SD0Q1000,0.8802083333333334,0.006962600000000485,Q1000,D0
SD0Q1000_6,SD0Q1000,0.8748372395833334,0.007988499999999732,Q1000,D0
SD0Q1000_7,SD0Q1000,0.8748372395833334,0.006300600000000323,Q1000,D0
SD0Q1000_8,SD0Q1000,0.8745117187499999,0.004628699999999597,Q1000,D0
SD0Q1000_9,SD0Q1000,0.880859375,0.004675099999999155,Q1000,D0
SD0Q100_0,SD0Q100,0.7473958333333334,0.004949600000000665,Q100,D0
SD0Q100_1,SD0Q100,0.7403971354166666,0.0055658999999996794,Q100,D0
SD0Q100_2,SD0Q100,0.7452799479166666,0.005313300000000076,Q100,D0
SD0Q100_3,SD0Q100,0.7472330729166667,0.008133599999999852,Q100,D0
SD0Q100_4,SD0Q100,0.7434895833333334,0.022349500000000688,Q100,D0
SD0Q100_5,SD0Q100,0.7426757812499999,0.006301500000000182,Q100,D0
SD0Q100_6,SD0Q100,0.7314453124999999,0.005179700000000231,Q100,D0
SD0Q100_7,SD0Q100,0.7413736979166666,0.005316200000000215,Q100,D0
SD0Q100_8,SD0Q100,0.7377929687500001,0.005355999999999916,Q100,D0
SD0Q100_9,SD0Q100,0.7392578125,0.004712099999999886,Q100,D0
SD0Q10_0,SD0Q10,0.7923177083333334,0.005034900000000064,Q10,D0
SD0Q10_1,SD0Q10,0.7880859375,0.004781000000000368,Q10,D0
SD0Q10_2,SD0Q10,0.79736328125,0.0064902000000000015,Q10,D0
SD0Q10_3,SD0Q10,0.8024088541666667,0.004941499999999266,Q10,D0
SD0Q10_4,SD0Q10,0.7908528645833334,0.0046960000000000335,Q10,D0
SD0Q10_5,SD0Q10,0.7877604166666666,0.004845500000000058,Q10,D0
SD0Q10_6,SD0Q10,0.7942708333333333,0.00751650000000037,Q10,D0
SD0Q10_7,SD0Q10,0.7906901041666666,0.005930600000000119,Q10,D0
SD0Q10_8,SD0Q10,0.8107096354166666,0.0049296000000005336,Q10,D0
SD0Q10_9,SD0Q10,0.796875,0.004722199999999788,Q10,D0
SD0Q1500_0,SD0Q1500,0.8458658854166666,0.005074299999999532,Q1500,D0
SD0Q1500_1,SD0Q1500,0.8579101562499999,0.005919099999999844,Q1500,D0
SD0Q1500_2,SD0Q1500,0.8583984374999999,0.004960500000000145,Q1500,D0
SD0Q1500_3,SD0Q1500,0.857421875,0.005126900000000489,Q1500,D0
SD0Q1500_4,SD0Q1500,0.85009765625,0.005810199999999988,Q1500,D0
SD0Q1500_5,SD0Q1500,0.8605143229166667,0.004907000000000217,Q1500,D0
SD0Q1500_6,SD0Q1500,0.84765625,0.005100699999999847,Q1500,D0
SD0Q1500_7,SD0Q1500,0.85302734375,0.006029700000000027,Q1500,D0
SD0Q1500_8,SD0Q1500,0.8515625,0.0050394999999996415,Q1500,D0
SD0Q1500_9,SD0Q1500,0.861328125,0.0049005000000006405,Q1500,D0
SD0Q500_0,SD0Q500,0.8605143229166667,0.006404400000000088,Q500,D0
SD0Q500_1,SD0Q500,0.8463541666666666,0.005684200000000139,Q500,D0
SD0Q500_2,SD0Q500,0.8618164062499999,0.004604999999999748,Q500,D0
SD0Q500_3,SD0Q500,0.8569335937499999,0.006246100000000254,Q500,D0
SD0Q500_4,SD0Q500,0.84716796875,0.004591399999999801,Q500,D0
SD0Q500_5,SD0Q500,0.8489583333333334,0.005390300000000181,Q500,D0
SD0Q500_6,SD0Q500,0.85888671875,0.004777800000000276,Q500,D0
SD0Q500_7,SD0Q500,0.85205078125,0.0045983999999998915,Q500,D0
SD0Q500_8,SD0Q500,0.8575846354166667,0.005313000000000123,Q500,D0
SD0Q500_9,SD0Q500,0.84375,0.006130599999999653,Q500,D0
SD1Q1000_0,SD1Q1000,0.8947811447811448,0.002778299999999234,Q1000,D1
SD1Q1000_1,SD1Q1000,0.8891694725028059,0.003614999999999924,Q1000,D1
SD1Q1000_2,SD1Q1000,0.9001122334455668,0.004079899999999803,Q1000,D1
SD1Q1000_3,SD1Q1000,0.9034792368125701,0.0027064000000001087,Q1000,D1
SD1Q1000_4,SD1Q1000,0.8922558922558922,0.0026903000000002564,Q1000,D1
SD1Q1000_5,SD1Q1000,0.8978675645342313,0.0034785999999993322,Q1000,D1
SD1Q1000_6,SD1Q1000,0.8984287317620652,0.002561899999999895,Q1000,D1
SD1Q1000_7,SD1Q1000,0.8967452300785634,0.0031197000000000585,Q1000,D1
SD1Q1000_8,SD1Q1000,0.904320987654321,0.0028961999999994603,Q1000,D1
SD1Q1000_9,SD1Q1000,0.9065656565656566,0.003505999999999787,Q1000,D1
SD1Q100_0,SD1Q100,0.829685746352413,0.00425349999999991,Q100,D1
SD1Q100_1,SD1Q100,0.8344556677890012,0.0028863000000001193,Q100,D1
SD1Q100_2,SD1Q100,0.8282828282828283,0.0026439000000006985,Q100,D1
SD1Q100_3,SD1Q100,0.8254769921436588,0.004024300000000203,Q100,D1
SD1Q100_4,SD1Q100,0.8198653198653199,0.0028605000000005987,Q100,D1
SD1Q100_5,SD1Q100,0.8265993265993266,0.0034376000000007068,Q100,D1
SD1Q100_6,SD1Q100,0.813973063973064,0.003014199999999967,Q100,D1
SD1Q100_7,SD1Q100,0.8288439955106622,0.002685399999999838,Q100,D1
SD1Q100_8,SD1Q100,0.8159371492704826,0.0033690999999995697,Q100,D1
SD1Q100_9,SD1Q100,0.8383838383838385,0.0026488000000002287,Q100,D1
