Epoch,Loss_G,Loss_D
1,8.4356,-13.0786
2,11.748,-30.1184
3,14.6541,-46.3084
4,15.0413,-54.2472
5,5.644,-49.0087
6,-9.8513,-43.6087
7,-4.4199,-26.7964
8,-22.1089,-26.9255
9,-22.097,-31.7615
10,-25.986,-17.9339
11,-27.2441,-11.3783
12,-28.1204,-8.4112
13,-23.9905,-9.7422
14,-27.8597,-9.1853
15,-24.7553,4.0176
16,-25.9763,1.0376
17,-28.8726,-7.6694
18,-19.5374,-2.1933
19,-15.8332,0.5747
20,-13.4282,-6.4782
21,-13.8324,1.2549
22,-20.1004,6.8582
23,-11.0842,8.2693
24,-12.2062,-6.3214
25,-4.9916,-6.548
26,-5.1264,3.4019
27,-9.0209,-6.1135
28,-5.2514,-4.1842
29,-6.5591,3.7031
30,-11.7751,5.5467
31,-5.1654,0.3541
32,-12.8737,2.6081
33,-4.6572,2.5702
34,-6.9099,-0.4863
35,-2.7285,-0.3467
36,-4.3119,3.5371
37,-1.9081,-1.1096
38,-8.9987,5.4697
39,-3.4592,-2.022
40,-6.9117,0.5053
41,-5.4726,1.301
42,-10.7824,-2.8603
43,-6.6457,0.2911
44,-7.3202,1.7058
45,-4.115,3.2625
46,-9.3192,-8.1607
47,-6.4495,2.5299
48,-5.2157,-12.5218
49,-5.9128,0.3911
50,-4.2857,-3.21
51,-3.543,6.349
52,1.7405,0.846
53,-0.2463,-5.0246
54,-4.4708,-10.8337
55,-3.8554,-10.0732
56,-5.8834,2.5548
57,-2.5938,-3.4252
58,-3.5647,-8.6023
59,-2.632,-4.0645
60,-1.8782,-3.7891
61,-1.1703,1.8968
62,-5.6368,3.2586
63,2.4893,1.4152
64,3.9614,-5.42
65,-2.5163,2.6453
66,-5.6138,-10.0577
67,-7.6103,-3.9742
68,5.4515,8.9912
69,4.7777,5.0335
70,2.3914,3.1009
71,4.4911,-2.3599
72,-7.1803,-4.3465
73,2.1968,1.6827
74,-3.6197,4.2126
75,-4.3826,-6.5052
76,1.9763,8.6917
77,0.0919,0.2165
78,2.9389,10.415
79,9.9198,8.8457
80,0.4268,-2.1105
81,2.8563,-5.473
82,0.8846,-1.2346
83,0.5612,5.3603
84,3.1738,1.9369
85,-3.1994,-2.7617
86,-5.451,0.5349
87,3.5418,-0.3731
88,7.4664,5.1584
89,-1.3054,-3.2877
90,-1.9484,-8.8509
91,-1.2433,2.5996
92,-1.2499,11.4166
93,3.1368,6.1861
94,-2.8227,-3.6852
95,-5.8996,-6.0651
96,0.2737,2.8573
97,-4.6607,-4.6949
98,-2.5124,4.6073
99,5.7633,2.0053
100,1.1801,-1.5451
