Dataset id,Tuned on,Trained on,model,Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_weighted,Recall_weighted,F1_weighted,MCC,Kappa,sklearn-report,val_score,Params,Quality,SDG
D0,original,original,lr,0.7467532467532467,0.7245966897129688,0.6985185185185185,0.7065520105535741,0.7395849488872746,0.7467532467532467,0.7389951134515556,0.4223107960068364,0.4165533320380805,"{'0': {'precision': 0.7747747747747747, 'recall': 0.86, 'f1-score': 0.8151658767772512, 'support': 100}, '1': {'precision': 0.6744186046511628, 'recall': 0.5370370370370371, 'f1-score': 0.597938144329897, 'support': 54}, 'accuracy': 0.7467532467532467, 'macro avg': {'precision': 0.7245966897129688, 'recall': 0.6985185185185185, 'f1-score': 0.7065520105535741, 'support': 154}, 'weighted avg': {'precision': 0.7395849488872746, 'recall': 0.7467532467532467, 'f1-score': 0.7389951134515556, 'support': 154}}","{'Accuracy': {0: 0.7903, 1: 0.7258, 2: 0.8548, 3: 0.7581, 4: 0.7541, 5: 0.8197, 6: 0.8033, 7: 0.8197, 8: 0.8197, 9: 0.7213, 'Mean': 0.7867, 'Std': 0.0425}, 'AUC': {0: 0.8386, 1: 0.8227, 2: 0.8795, 3: 0.7955, 4: 0.8071, 5: 0.8714, 6: 0.8631, 7: 0.8893, 8: 0.8762, 9: 0.7393, 'Mean': 0.8383, 'Std': 0.0451}, 'Recall': {0: 0.5909, 1: 0.4091, 2: 0.6818, 3: 0.5, 4: 0.619, 5: 0.6667, 6: 0.619, 7: 0.7143, 8: 0.7143, 9: 0.4762, 'Mean': 0.5991, 'Std': 0.0999}, 'Prec.': {0: 0.7647, 1: 0.6923, 2: 0.8824, 3: 0.7333, 4: 0.65, 5: 0.7778, 6: 0.7647, 7: 0.75, 8: 0.75, 9: 0.625, 'Mean': 0.739, 'Std': 0.0684}, 'F1': {0: 0.6667, 1: 0.5143, 2: 0.7692, 3: 0.5946, 4: 0.6341, 5: 0.7179, 6: 0.6842, 7: 0.7317, 8: 0.7317, 9: 0.5405, 'Mean': 0.6585, 'Std': 0.0816}, 'Kappa': {0: 0.5174, 1: 0.3404, 2: 0.6659, 3: 0.4308, 4: 0.4491, 5: 0.5866, 6: 0.5436, 7: 0.596, 8: 0.596, 9: 0.3457, 'Mean': 0.5072, 'Std': 0.1057}, 'MCC': {0: 0.5265, 1: 0.3633, 2: 0.6776, 3: 0.4469, 4: 0.4494, 5: 0.5903, 6: 0.55, 7: 0.5964, 8: 0.5964, 9: 0.3523, 'Mean': 0.5149, 'Std': 0.1026}}","{'C': 11.288378916846883, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': None, 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",,
D0,original,original,knn,0.7207792207792207,0.6923318667504714,0.6699999999999999,0.6764547808667611,0.7115756650640371,0.7207792207792207,0.712225381497869,0.3616430137446603,0.3567126481445503,"{'0': {'precision': 0.7567567567567568, 'recall': 0.84, 'f1-score': 0.7962085308056872, 'support': 100}, '1': {'precision': 0.627906976744186, 'recall': 0.5, 'f1-score': 0.5567010309278351, 'support': 54}, 'accuracy': 0.7207792207792207, 'macro avg': {'precision': 0.6923318667504714, 'recall': 0.6699999999999999, 'f1-score': 0.6764547808667611, 'support': 154}, 'weighted avg': {'precision': 0.7115756650640371, 'recall': 0.7207792207792207, 'f1-score': 0.712225381497869, 'support': 154}}","{'Accuracy': {0: 0.7581, 1: 0.7742, 2: 0.8065, 3: 0.7581, 4: 0.7541, 5: 0.7541, 6: 0.8033, 7: 0.8033, 8: 0.8197, 9: 0.7705, 'Mean': 0.7802, 'Std': 0.0241}, 'AUC': {0: 0.7852, 1: 0.8386, 2: 0.8818, 3: 0.8114, 4: 0.8036, 5: 0.8089, 6: 0.9, 7: 0.8833, 8: 0.8714, 9: 0.7714, 'Mean': 0.8356, 'Std': 0.0434}, 'Recall': {0: 0.5909, 1: 0.4091, 2: 0.5455, 3: 0.4545, 4: 0.5238, 5: 0.619, 6: 0.5714, 7: 0.6667, 8: 0.6667, 9: 0.5714, 'Mean': 0.5619, 'Std': 0.0793}, 'Prec.': {0: 0.6842, 1: 0.9, 2: 0.8571, 3: 0.7692, 4: 0.6875, 5: 0.65, 6: 0.8, 7: 0.7368, 8: 0.7778, 9: 0.7059, 'Mean': 0.7569, 'Std': 0.0758}, 'F1': {0: 0.6341, 1: 0.5625, 2: 0.6667, 3: 0.5714, 4: 0.5946, 5: 0.6341, 6: 0.6667, 7: 0.7, 8: 0.7179, 9: 0.6316, 'Mean': 0.638, 'Std': 0.049}, 'Kappa': {0: 0.4549, 1: 0.4378, 2: 0.5396, 3: 0.418, 4: 0.4227, 5: 0.4491, 6: 0.5326, 7: 0.5542, 8: 0.5866, 9: 0.4676, 'Mean': 0.4863, 'Std': 0.0578}, 'MCC': {0: 0.4576, 1: 0.4997, 2: 0.567, 3: 0.4461, 4: 0.4308, 5: 0.4494, 6: 0.5477, 7: 0.5557, 8: 0.5903, 9: 0.4731, 'Mean': 0.5017, 'Std': 0.0555}}","{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 19, 'p': 1, 'weights': 'distance'}",,
D0,original,original,rbfsvm,0.7077922077922078,0.6761467889908257,0.6599999999999999,0.6650717703349283,0.698891933754319,0.7077922077922078,0.7008015907537438,0.3357587600556811,0.3327556325823223,"{'0': {'precision': 0.7522935779816514, 'recall': 0.82, 'f1-score': 0.784688995215311, 'support': 100}, '1': {'precision': 0.6, 'recall': 0.5, 'f1-score': 0.5454545454545454, 'support': 54}, 'accuracy': 0.7077922077922078, 'macro avg': {'precision': 0.6761467889908257, 'recall': 0.6599999999999999, 'f1-score': 0.6650717703349283, 'support': 154}, 'weighted avg': {'precision': 0.698891933754319, 'recall': 0.7077922077922078, 'f1-score': 0.7008015907537438, 'support': 154}}","{'Accuracy': {0: 0.7097, 1: 0.7097, 2: 0.7258, 3: 0.6774, 4: 0.6393, 5: 0.8033, 6: 0.7377, 7: 0.7869, 8: 0.8033, 9: 0.7049, 'Mean': 0.7298, 'Std': 0.0515}, 'AUC': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 'Mean': 0.0, 'Std': 0.0}, 'Recall': {0: 0.5455, 1: 0.4091, 2: 0.5, 3: 0.4545, 4: 0.381, 5: 0.6667, 6: 0.5714, 7: 0.7143, 8: 0.8095, 9: 0.4762, 'Mean': 0.5528, 'Std': 0.1319}, 'Prec.': {0: 0.6, 1: 0.6429, 2: 0.6471, 3: 0.5556, 4: 0.4706, 5: 0.7368, 6: 0.6316, 7: 0.6818, 8: 0.68, 9: 0.5882, 'Mean': 0.6235, 'Std': 0.0709}, 'F1': {0: 0.5714, 1: 0.5, 2: 0.5641, 3: 0.5, 4: 0.4211, 5: 0.7, 6: 0.6, 7: 0.6977, 8: 0.7391, 9: 0.5263, 'Mean': 0.582, 'Std': 0.0976}, 'Kappa': {0: 0.3527, 1: 0.3094, 2: 0.3689, 3: 0.2654, 4: 0.1633, 5: 0.5542, 6: 0.4056, 7: 0.5333, 8: 0.5831, 9: 0.3155, 'Mean': 0.3851, 'Std': 0.1287}, 'MCC': {0: 0.3536, 1: 0.3251, 2: 0.3754, 3: 0.2683, 4: 0.1653, 5: 0.5557, 6: 0.4067, 7: 0.5336, 8: 0.5889, 9: 0.3192, 'Mean': 0.3892, 'Std': 0.1281}}","{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",,
D0,original,original,rf,0.7012987012987013,0.6698076923076923,0.6635185185185186,0.6661010558069382,0.6966333666333665,0.7012987012987013,0.6984828896593602,0.3332668737165593,0.3327053504144687,"{'0': {'precision': 0.7596153846153846, 'recall': 0.79, 'f1-score': 0.7745098039215687, 'support': 100}, '1': {'precision': 0.58, 'recall': 0.5370370370370371, 'f1-score': 0.5576923076923077, 'support': 54}, 'accuracy': 0.7012987012987013, 'macro avg': {'precision': 0.6698076923076923, 'recall': 0.6635185185185186, 'f1-score': 0.6661010558069382, 'support': 154}, 'weighted avg': {'precision': 0.6966333666333665, 'recall': 0.7012987012987013, 'f1-score': 0.6984828896593602, 'support': 154}}","{'Accuracy': {0: 0.7742, 1: 0.7097, 2: 0.7903, 3: 0.6613, 4: 0.7541, 5: 0.8033, 6: 0.8197, 7: 0.7541, 8: 0.7541, 9: 0.6885, 'Mean': 0.7509, 'Std': 0.0482}, 'AUC': {0: 0.7977, 1: 0.7977, 2: 0.8864, 3: 0.7381, 4: 0.794, 5: 0.8006, 6: 0.9, 7: 0.872, 8: 0.8631, 9: 0.7345, 'Mean': 0.8184, 'Std': 0.056}, 'Recall': {0: 0.5455, 1: 0.3182, 2: 0.4545, 3: 0.3182, 4: 0.4762, 5: 0.5714, 6: 0.5714, 7: 0.5238, 8: 0.5238, 9: 0.4286, 'Mean': 0.4732, 'Std': 0.0895}, 'Prec.': {0: 0.75, 1: 0.7, 2: 0.9091, 3: 0.5385, 4: 0.7143, 5: 0.8, 6: 0.8571, 7: 0.6875, 8: 0.6875, 9: 0.5625, 'Mean': 0.7206, 'Std': 0.1105}, 'F1': {0: 0.6316, 1: 0.4375, 2: 0.6061, 3: 0.4, 4: 0.5714, 5: 0.6667, 6: 0.6857, 7: 0.5946, 8: 0.5946, 9: 0.4865, 'Mean': 0.5675, 'Std': 0.0908}, 'Kappa': {0: 0.4746, 1: 0.2772, 2: 0.484, 3: 0.1852, 4: 0.4085, 5: 0.5326, 6: 0.5663, 7: 0.4227, 8: 0.4227, 9: 0.2688, 'Mean': 0.4043, 'Std': 0.1171}, 'MCC': {0: 0.4871, 1: 0.3164, 2: 0.538, 3: 0.1977, 4: 0.425, 5: 0.5477, 6: 0.5891, 7: 0.4308, 8: 0.4308, 9: 0.2739, 'Mean': 0.4236, 'Std': 0.1204}}","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",,
D1,original,original,lr,0.8212290502793296,0.8121668443496801,0.8086297760210803,0.8102808691043986,0.8204235208633609,0.8212290502793296,0.820719832550263,0.6207865438388601,0.6206120015896145,"{'0.0': {'precision': 0.8482142857142857, 'recall': 0.8636363636363636, 'f1-score': 0.8558558558558559, 'support': 110}, '1.0': {'precision': 0.7761194029850746, 'recall': 0.7536231884057971, 'f1-score': 0.7647058823529411, 'support': 69}, 'accuracy': 0.8212290502793296, 'macro avg': {'precision': 0.8121668443496801, 'recall': 0.8086297760210803, 'f1-score': 0.8102808691043986, 'support': 179}, 'weighted avg': {'precision': 0.8204235208633609, 'recall': 0.8212290502793296, 'f1-score': 0.820719832550263, 'support': 179}}","{'Accuracy': {0: 0.8194, 1: 0.7917, 2: 0.8451, 3: 0.7746, 4: 0.7324, 5: 0.7746, 6: 0.7746, 7: 0.7324, 8: 0.8028, 9: 0.8451, 'Mean': 0.7893, 'Std': 0.038}, 'AUC': {0: 0.9148, 1: 0.8734, 2: 0.8331, 3: 0.8561, 4: 0.8367, 5: 0.7736, 6: 0.7727, 7: 0.8106, 8: 0.8645, 9: 0.8998, 'Mean': 0.8435, 'Std': 0.0457}, 'Recall': {0: 0.7143, 1: 0.7857, 2: 0.7143, 3: 0.6296, 4: 0.6667, 5: 0.6296, 6: 0.7037, 7: 0.6296, 8: 0.6296, 9: 0.8148, 'Mean': 0.6918, 'Std': 0.0642}, 'Prec.': {0: 0.8, 1: 0.7097, 2: 0.8696, 3: 0.7391, 4: 0.6429, 5: 0.7391, 6: 0.7037, 7: 0.6538, 8: 0.8095, 9: 0.7857, 'Mean': 0.7453, 'Std': 0.0679}, 'F1': {0: 0.7547, 1: 0.7458, 2: 0.7843, 3: 0.68, 4: 0.6545, 5: 0.68, 6: 0.7037, 7: 0.6415, 8: 0.7083, 9: 0.8, 'Mean': 0.7153, 'Std': 0.0512}, 'Kappa': {0: 0.6126, 1: 0.5701, 2: 0.6652, 3: 0.5078, 4: 0.4363, 5: 0.5078, 6: 0.5219, 7: 0.4281, 8: 0.5629, 9: 0.6736, 'Mean': 0.5486, 'Std': 0.0807}, 'MCC': {0: 0.615, 1: 0.5722, 2: 0.6731, 3: 0.5117, 4: 0.4365, 5: 0.5117, 6: 0.5219, 7: 0.4283, 8: 0.573, 9: 0.6739, 'Mean': 0.5517, 'Std': 0.0819}}","{'C': 0.03359818286283781, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",,
D1,original,original,knn,0.8044692737430168,0.7934362934362934,0.8003952569169961,0.7962270287851684,0.8080282996484114,0.8044692737430168,0.8056140299871624,0.593790773776644,0.5927851803704907,"{'0.0': {'precision': 0.8571428571428571, 'recall': 0.8181818181818182, 'f1-score': 0.8372093023255814, 'support': 110}, '1.0': {'precision': 0.7297297297297297, 'recall': 0.782608695652174, 'f1-score': 0.7552447552447553, 'support': 69}, 'accuracy': 0.8044692737430168, 'macro avg': {'precision': 0.7934362934362934, 'recall': 0.8003952569169961, 'f1-score': 0.7962270287851684, 'support': 179}, 'weighted avg': {'precision': 0.8080282996484114, 'recall': 0.8044692737430168, 'f1-score': 0.8056140299871624, 'support': 179}}","{'Accuracy': {0: 0.8611, 1: 0.7639, 2: 0.7606, 3: 0.7887, 4: 0.7606, 5: 0.7606, 6: 0.7606, 7: 0.8451, 8: 0.7606, 9: 0.8169, 'Mean': 0.7879, 'Std': 0.0371}, 'AUC': {0: 0.9188, 1: 0.8482, 2: 0.8439, 3: 0.8388, 4: 0.8342, 5: 0.7849, 6: 0.8119, 7: 0.8472, 8: 0.8136, 9: 0.8653, 'Mean': 0.8407, 'Std': 0.034}, 'Recall': {0: 0.8571, 1: 0.7143, 2: 0.6429, 3: 0.7407, 4: 0.7037, 5: 0.6296, 6: 0.6296, 7: 0.8148, 8: 0.7037, 9: 0.8148, 'Mean': 0.7251, 'Std': 0.0773}, 'Prec.': {0: 0.8, 1: 0.6897, 2: 0.72, 3: 0.7143, 4: 0.6786, 5: 0.7083, 6: 0.7083, 7: 0.7857, 8: 0.6786, 9: 0.7333, 'Mean': 0.7217, 'Std': 0.0394}, 'F1': {0: 0.8276, 1: 0.7018, 2: 0.6792, 3: 0.7273, 4: 0.6909, 5: 0.6667, 6: 0.6667, 7: 0.8, 8: 0.6909, 9: 0.7719, 'Mean': 0.7223, 'Std': 0.0548}, 'Kappa': {0: 0.7115, 1: 0.5065, 2: 0.4892, 3: 0.555, 4: 0.4956, 5: 0.4809, 6: 0.4809, 7: 0.6736, 8: 0.4956, 9: 0.6197, 'Mean': 0.5508, 'Std': 0.0821}, 'MCC': {0: 0.7127, 1: 0.5067, 2: 0.4912, 3: 0.5552, 4: 0.4958, 5: 0.4829, 6: 0.4829, 7: 0.6739, 8: 0.4958, 9: 0.6221, 'Mean': 0.5519, 'Std': 0.082}}","{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 21, 'p': 2, 'weights': 'distance'}",,
D1,original,original,rbfsvm,0.8100558659217877,0.7991653625456443,0.8022397891963109,0.8005897771952818,0.8112332176381276,0.8100558659217877,0.8105413063693009,0.6013972933448685,0.6012318175861617,"{'0.0': {'precision': 0.8518518518518519, 'recall': 0.8363636363636363, 'f1-score': 0.8440366972477065, 'support': 110}, '1.0': {'precision': 0.7464788732394366, 'recall': 0.7681159420289855, 'f1-score': 0.7571428571428571, 'support': 69}, 'accuracy': 0.8100558659217877, 'macro avg': {'precision': 0.7991653625456443, 'recall': 0.8022397891963109, 'f1-score': 0.8005897771952818, 'support': 179}, 'weighted avg': {'precision': 0.8112332176381276, 'recall': 0.8100558659217877, 'f1-score': 0.8105413063693009, 'support': 179}}","{'Accuracy': {0: 0.8194, 1: 0.7778, 2: 0.8451, 3: 0.7746, 4: 0.7746, 5: 0.7465, 6: 0.6901, 7: 0.7324, 8: 0.7746, 9: 0.8028, 'Mean': 0.7738, 'Std': 0.0418}, 'AUC': {0: 0.0, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 0.0, 'Mean': 0.0, 'Std': 0.0}, 'Recall': {0: 0.6429, 1: 0.7857, 2: 0.75, 3: 0.5926, 4: 0.7037, 5: 0.5556, 6: 0.6667, 7: 0.6667, 8: 0.6296, 9: 0.7037, 'Mean': 0.6697, 'Std': 0.066}, 'Prec.': {0: 0.8571, 1: 0.6875, 2: 0.84, 3: 0.7619, 4: 0.7037, 5: 0.7143, 6: 0.5806, 7: 0.6429, 8: 0.7391, 9: 0.76, 'Mean': 0.7287, 'Std': 0.0793}, 'F1': {0: 0.7347, 1: 0.7333, 2: 0.7925, 3: 0.6667, 4: 0.7037, 5: 0.625, 6: 0.6207, 7: 0.6545, 8: 0.68, 9: 0.7308, 'Mean': 0.6942, 'Std': 0.0519}, 'Kappa': {0: 0.602, 1: 0.5443, 2: 0.6695, 3: 0.5004, 4: 0.5219, 5: 0.438, 6: 0.3609, 7: 0.4363, 8: 0.5078, 9: 0.5756, 'Mean': 0.5157, 'Std': 0.0849}, 'MCC': {0: 0.6164, 1: 0.5479, 2: 0.6722, 3: 0.5095, 4: 0.5219, 5: 0.4459, 6: 0.3633, 7: 0.4365, 8: 0.5117, 9: 0.5766, 'Mean': 0.5202, 'Std': 0.0858}}","{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': False, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",,
D1,original,original,rf,0.8324022346368715,0.8254385964912281,0.8177206851119895,0.8210954157782516,0.8312653141232971,0.8324022346368715,0.831397184071661,0.6431129724677532,0.6423814597762387,"{'0.0': {'precision': 0.8508771929824561, 'recall': 0.8818181818181818, 'f1-score': 0.8660714285714286, 'support': 110}, '1.0': {'precision': 0.8, 'recall': 0.7536231884057971, 'f1-score': 0.7761194029850746, 'support': 69}, 'accuracy': 0.8324022346368715, 'macro avg': {'precision': 0.8254385964912281, 'recall': 0.8177206851119895, 'f1-score': 0.8210954157782516, 'support': 179}, 'weighted avg': {'precision': 0.8312653141232971, 'recall': 0.8324022346368715, 'f1-score': 0.831397184071661, 'support': 179}}","{'Accuracy': {0: 0.7639, 1: 0.7917, 2: 0.7183, 3: 0.7042, 4: 0.8169, 5: 0.7042, 6: 0.7606, 7: 0.7183, 8: 0.7465, 9: 0.6761, 'Mean': 0.7401, 'Std': 0.0415}, 'AUC': {0: 0.901, 1: 0.8665, 2: 0.7799, 3: 0.8409, 4: 0.8552, 5: 0.7197, 6: 0.7433, 7: 0.8178, 8: 0.7883, 9: 0.8885, 'Mean': 0.8201, 'Std': 0.058}, 'Recall': {0: 0.3929, 1: 0.5, 2: 0.3214, 3: 0.2593, 4: 0.5185, 5: 0.2593, 6: 0.4074, 7: 0.2593, 8: 0.3333, 9: 0.1481, 'Mean': 0.3399, 'Std': 0.1103}, 'Prec.': {0: 1.0, 1: 0.9333, 2: 0.9, 3: 0.875, 4: 1.0, 5: 0.875, 6: 0.9167, 7: 1.0, 8: 1.0, 9: 1.0, 'Mean': 0.95, 'Std': 0.0526}, 'F1': {0: 0.5641, 1: 0.6512, 2: 0.4737, 3: 0.4, 4: 0.6829, 5: 0.4, 6: 0.5641, 7: 0.4118, 8: 0.5, 9: 0.2581, 'Mean': 0.4906, 'Std': 0.1227}, 'Kappa': {0: 0.4416, 1: 0.5213, 2: 0.3358, 3: 0.2737, 4: 0.5717, 5: 0.2737, 6: 0.4309, 7: 0.3026, 8: 0.3826, 9: 0.1773, 'Mean': 0.3711, 'Std': 0.1157}, 'MCC': {0: 0.5323, 1: 0.5729, 2: 0.4189, 3: 0.3631, 4: 0.6327, 5: 0.3631, 6: 0.4983, 7: 0.4222, 8: 0.4864, 9: 0.3119, 'Mean': 0.4602, 'Std': 0.0968}}","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",,
D205,original,original,lr,0.8960176991150443,0.7642650776453593,0.6384120679056131,0.6740467970847718,0.8782310952166368,0.8960176991150443,0.8799501003085635,0.3825047757721808,0.3553046856033018,"{'0.0': {'precision': 0.9131455399061033, 'recall': 0.974937343358396, 'f1-score': 0.9430303030303031, 'support': 399}, '1.0': {'precision': 0.6153846153846154, 'recall': 0.3018867924528302, 'f1-score': 0.4050632911392405, 'support': 53}, 'accuracy': 0.8960176991150443, 'macro avg': {'precision': 0.7642650776453593, 'recall': 0.6384120679056131, 'f1-score': 0.6740467970847718, 'support': 452}, 'weighted avg': {'precision': 0.8782310952166368, 'recall': 0.8960176991150443, 'f1-score': 0.8799501003085635, 'support': 452}}","{'Accuracy': {0: 0.9116, 1: 0.895, 2: 0.8785, 3: 0.895, 4: 0.9061, 5: 0.9227, 6: 0.8895, 7: 0.8895, 8: 0.9056, 9: 0.9, 'Mean': 0.8993, 'Std': 0.012}, 'AUC': {0: 0.8804, 1: 0.9071, 2: 0.8887, 3: 0.911, 4: 0.9065, 5: 0.9238, 6: 0.9119, 7: 0.8445, 8: 0.9081, 9: 0.867, 'Mean': 0.8949, 'Std': 0.0233}, 'Recall': {0: 0.2381, 1: 0.3333, 2: 0.2857, 3: 0.2381, 4: 0.4762, 5: 0.381, 6: 0.1905, 7: 0.2727, 8: 0.2381, 9: 0.1905, 'Mean': 0.2844, 'Std': 0.0853}, 'Prec.': {0: 1.0, 1: 0.5833, 2: 0.4615, 3: 0.625, 4: 0.625, 5: 0.8889, 6: 0.5714, 7: 0.6, 8: 0.8333, 9: 0.8, 'Mean': 0.6989, 'Std': 0.1618}, 'F1': {0: 0.3846, 1: 0.4242, 2: 0.3529, 3: 0.3448, 4: 0.5405, 5: 0.5333, 6: 0.2857, 7: 0.375, 8: 0.3704, 9: 0.3077, 'Mean': 0.3919, 'Std': 0.0813}, 'Kappa': {0: 0.3559, 1: 0.3712, 2: 0.2899, 3: 0.3, 4: 0.4893, 5: 0.4984, 6: 0.2417, 7: 0.3236, 8: 0.3359, 9: 0.2752, 'Mean': 0.3481, 'Std': 0.0814}, 'MCC': {0: 0.4652, 1: 0.3888, 2: 0.3001, 3: 0.3418, 4: 0.4949, 5: 0.552, 6: 0.2852, 7: 0.3541, 8: 0.4146, 9: 0.3598, 'Mean': 0.3957, 'Std': 0.0817}}","{'C': 0.03359818286283781, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",,
D205,original,original,knn,0.8915929203539823,0.7979638009049774,0.562278337352816,0.5819791253798388,0.8729537900933008,0.8915929203539823,0.8573682592128815,0.27244588535478,0.1921505690107967,"{'0.0': {'precision': 0.8959276018099548, 'recall': 0.9924812030075187, 'f1-score': 0.9417360285374553, 'support': 399}, '1.0': {'precision': 0.7, 'recall': 0.1320754716981132, 'f1-score': 0.22222222222222224, 'support': 53}, 'accuracy': 0.8915929203539823, 'macro avg': {'precision': 0.7979638009049774, 'recall': 0.562278337352816, 'f1-score': 0.5819791253798388, 'support': 452}, 'weighted avg': {'precision': 0.8729537900933008, 'recall': 0.8915929203539823, 'f1-score': 0.8573682592128815, 'support': 452}}","{'Accuracy': {0: 0.895, 1: 0.884, 2: 0.8895, 3: 0.895, 4: 0.9006, 5: 0.9006, 6: 0.884, 7: 0.895, 8: 0.8889, 9: 0.8833, 'Mean': 0.8916, 'Std': 0.0063}, 'AUC': {0: 0.8821, 1: 0.7734, 2: 0.8439, 3: 0.7787, 4: 0.7927, 5: 0.8269, 6: 0.7128, 7: 0.8378, 8: 0.8518, 9: 0.7568, 'Mean': 0.8057, 'Std': 0.0489}, 'Recall': {0: 0.0952, 1: 0.0476, 2: 0.1905, 3: 0.0952, 4: 0.1905, 5: 0.1429, 6: 0.0, 7: 0.2727, 8: 0.0476, 9: 0.0, 'Mean': 0.1082, 'Std': 0.0854}, 'Prec.': {0: 1.0, 1: 0.5, 2: 0.5714, 3: 1.0, 4: 0.8, 5: 1.0, 6: 0.0, 7: 0.6667, 8: 1.0, 9: 0.0, 'Mean': 0.6538, 'Std': 0.3723}, 'F1': {0: 0.1739, 1: 0.087, 2: 0.2857, 3: 0.1739, 4: 0.3077, 5: 0.25, 6: 0.0, 7: 0.3871, 8: 0.0909, 9: 0.0, 'Mean': 0.1756, 'Std': 0.1251}, 'Kappa': {0: 0.1569, 1: 0.0682, 2: 0.2417, 3: 0.1569, 4: 0.2754, 5: 0.2276, 6: 0.0, 7: 0.3406, 8: 0.0812, 9: 0.0, 'Mean': 0.1548, 'Std': 0.1108}, 'MCC': {0: 0.2918, 1: 0.1267, 2: 0.2852, 3: 0.2918, 4: 0.36, 5: 0.3583, 6: 0.0, 7: 0.3816, 8: 0.2057, 9: 0.0, 'Mean': 0.2301, 'Std': 0.1357}}","{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'manhattan', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",,
