Dataset id,SDG,Cluster_G_2,Cluster_G_2_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,2.232338784459809,11.930863100000002,Q1000,D0
SD0Q1000_1,SD0Q1000,1.8254036132555511,6.6672981,Q1000,D0
SD0Q1000_2,SD0Q1000,2.41436404064618,6.781923299999999,Q1000,D0
SD0Q1000_3,SD0Q1000,2.0320565679998173,8.328551699999998,Q1000,D0
SD0Q1000_4,SD0Q1000,1.6116601335312148,6.3854349,Q1000,D0
SD0Q1000_5,SD0Q1000,1.524066532026738,7.7039034000000015,Q1000,D0
SD0Q1000_6,SD0Q1000,1.6541046760491904,7.805315699999994,Q1000,D0
SD0Q1000_7,SD0Q1000,1.7201812558384664,6.599808400000001,Q1000,D0
SD0Q1000_8,SD0Q1000,1.680681310743079,6.141212799999991,Q1000,D0
SD0Q1000_9,SD0Q1000,0.8694045947420347,7.6931438999999955,Q1000,D0
SD0Q100_0,SD0Q100,9.845862564820852,7.537573600000002,Q100,D0
SD0Q100_1,SD0Q100,9.24185070318518,7.846429600000007,Q100,D0
SD0Q100_2,SD0Q100,9.734431465473785,5.547793399999989,Q100,D0
SD0Q100_3,SD0Q100,9.943879986617803,7.2678169,Q100,D0
SD0Q100_4,SD0Q100,7.877690230631467,7.718542599999992,Q100,D0
SD0Q100_5,SD0Q100,9.715218705164236,6.584576200000001,Q100,D0
SD0Q100_6,SD0Q100,10.514263286080745,6.730188499999997,Q100,D0
SD0Q100_7,SD0Q100,10.301793241399794,7.154010600000021,Q100,D0
SD0Q100_8,SD0Q100,10.405222736454297,7.859378700000008,Q100,D0
SD0Q100_9,SD0Q100,8.876432675859407,7.464956200000017,Q100,D0
SD0Q10_0,SD0Q10,7.984518910390246,6.382479600000011,Q10,D0
SD0Q10_1,SD0Q10,7.713241888668528,8.829418599999997,Q10,D0
SD0Q10_2,SD0Q10,7.869505331751442,7.490385599999996,Q10,D0
SD0Q10_3,SD0Q10,7.714931409696983,8.924311000000017,Q10,D0
SD0Q10_4,SD0Q10,7.80432416821491,8.207358000000028,Q10,D0
SD0Q10_5,SD0Q10,7.701802322661497,7.921055600000017,Q10,D0
SD0Q10_6,SD0Q10,7.922591695992787,7.672035899999997,Q10,D0
SD0Q10_7,SD0Q10,7.834167168367858,8.4141659,Q10,D0
SD0Q10_8,SD0Q10,7.564996696611215,6.610400699999985,Q10,D0
SD0Q10_9,SD0Q10,7.876859776680266,6.246989100000008,Q10,D0
SD0Q1500_0,SD0Q1500,2.865542801655238,7.446644799999973,Q1500,D0
SD0Q1500_1,SD0Q1500,1.9759772812534664,7.071119899999985,Q1500,D0
SD0Q1500_2,SD0Q1500,1.8003843660033398,6.912453400000004,Q1500,D0
SD0Q1500_3,SD0Q1500,1.387713965730444,7.472137600000025,Q1500,D0
SD0Q1500_4,SD0Q1500,1.7240634161573432,6.260492100000022,Q1500,D0
SD0Q1500_5,SD0Q1500,1.4467918568481826,8.820533300000022,Q1500,D0
SD0Q1500_6,SD0Q1500,2.3197895746469426,9.520347700000002,Q1500,D0
SD0Q1500_7,SD0Q1500,2.2724589981837746,8.970368599999972,Q1500,D0
SD0Q1500_8,SD0Q1500,2.0526655967817447,7.0979335000000106,Q1500,D0
SD0Q1500_9,SD0Q1500,1.6925430931228873,7.465594500000009,Q1500,D0
SD0Q500_0,SD0Q500,3.235541287776415,7.955404799999997,Q500,D0
SD0Q500_1,SD0Q500,4.243631995073626,8.135840500000029,Q500,D0
SD0Q500_2,SD0Q500,3.7190021898642174,8.712085200000047,Q500,D0
SD0Q500_3,SD0Q500,3.8789315333092897,9.610254499999996,Q500,D0
SD0Q500_4,SD0Q500,3.5573166219637744,10.41766899999999,Q500,D0
SD0Q500_5,SD0Q500,4.807459097340029,8.481629999999996,Q500,D0
SD0Q500_6,SD0Q500,4.07069375671394,9.215751699999998,Q500,D0
SD0Q500_7,SD0Q500,3.794418520610896,7.749933300000009,Q500,D0
SD0Q500_8,SD0Q500,3.5741431881865195,8.9344337,Q500,D0
SD0Q500_9,SD0Q500,3.878477011058578,11.01238239999998,Q500,D0
SD1Q1000_0,SD1Q1000,3.277313342985079,10.038806299999976,Q1000,D1
SD1Q1000_1,SD1Q1000,2.8156646035908794,9.099127199999998,Q1000,D1
SD1Q1000_2,SD1Q1000,2.834655430502305,9.349101399999997,Q1000,D1
SD1Q1000_3,SD1Q1000,3.603482157652022,8.447596499999975,Q1000,D1
SD1Q1000_4,SD1Q1000,3.176685776554232,8.211031699999978,Q1000,D1
SD1Q1000_5,SD1Q1000,2.7883832200820216,7.053818700000022,Q1000,D1
SD1Q1000_6,SD1Q1000,3.4662209465439675,8.758053300000029,Q1000,D1
SD1Q1000_7,SD1Q1000,2.598752654108046,8.367111400000056,Q1000,D1
SD1Q1000_8,SD1Q1000,2.657299846349364,7.128631999999982,Q1000,D1
SD1Q1000_9,SD1Q1000,2.9136155372253323,9.003039999999999,Q1000,D1
SD1Q100_0,SD1Q100,5.195834380866453,8.067499199999986,Q100,D1
SD1Q100_1,SD1Q100,5.008528594990514,9.385927400000014,Q100,D1
SD1Q100_2,SD1Q100,5.427017313985882,8.841571999999985,Q100,D1
SD1Q100_3,SD1Q100,4.39536038677174,9.89781670000002,Q100,D1
SD1Q100_4,SD1Q100,4.840968379359733,7.646004800000014,Q100,D1
SD1Q100_5,SD1Q100,5.120691342403722,9.303387000000043,Q100,D1
SD1Q100_6,SD1Q100,5.772617322148144,9.126097600000094,Q100,D1
SD1Q100_7,SD1Q100,4.728952503737297,8.177326200000039,Q100,D1
SD1Q100_8,SD1Q100,4.322793581658501,10.533951000000002,Q100,D1
SD1Q100_9,SD1Q100,4.568929748895802,9.211737599999992,Q100,D1
SD1Q10_0,SD1Q10,11.72357764724503,7.76362359999996,Q10,D1
SD1Q10_1,SD1Q10,9.602566395008848,8.909895100000085,Q10,D1
SD1Q10_2,SD1Q10,10.848920906242888,8.875938099999985,Q10,D1
SD1Q10_3,SD1Q10,9.229384780072014,8.424730100000033,Q10,D1
SD1Q10_4,SD1Q10,10.201602563401366,7.504534199999966,Q10,D1
SD1Q10_5,SD1Q10,9.349651790752448,10.10146020000002,Q10,D1
SD1Q10_6,SD1Q10,11.96095218340549,9.149791700000035,Q10,D1
SD1Q10_7,SD1Q10,9.875045494856549,7.680209399999967,Q10,D1
SD1Q10_8,SD1Q10,10.05609374379742,7.644789599999967,Q10,D1
SD1Q10_9,SD1Q10,10.125484575311797,8.536072999999988,Q10,D1
SD1Q1500_0,SD1Q1500,1.116589655256501,7.750331500000016,Q1500,D1
SD1Q1500_1,SD1Q1500,1.424245456311919,7.277171499999895,Q1500,D1
SD1Q1500_2,SD1Q1500,1.1428388739452648,8.347128300000008,Q1500,D1
SD1Q1500_3,SD1Q1500,1.2365644211150209,8.957856600000014,Q1500,D1
SD1Q1500_4,SD1Q1500,1.427798160122279,8.985936500000093,Q1500,D1
SD1Q1500_5,SD1Q1500,1.7274643106029712,8.370369100000062,Q1500,D1
SD1Q1500_6,SD1Q1500,1.7351882020794458,7.849550100000101,Q1500,D1
