Dataset id,SDG,pMSE,pMSE_time,s_pMSE,s_pMSE_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,0.4886203459218492,0.04259080000000015,422.8557787475139,0.031558399999999764,Q1000,D0
SD0Q1000_1,SD0Q1000,0.6412137933521612,0.1207666999999999,517.0843427498121,0.024668199999999807,Q1000,D0
SD0Q1000_2,SD0Q1000,0.7496767063983878,0.02446759999999948,542.7718451854254,0.026269600000000004,Q1000,D0
SD0Q1000_3,SD0Q1000,0.707561911494946,0.021718200000000465,521.9852986504976,0.019609399999999333,Q1000,D0
SD0Q1000_4,SD0Q1000,0.5829853055605598,0.02118489999999973,503.8552568027622,0.020857499999999973,Q1000,D0
SD0Q1000_5,SD0Q1000,0.5985555179416989,0.02049270000000014,390.91053265880447,0.0210139999999992,Q1000,D0
SD0Q1000_6,SD0Q1000,0.6034024864226885,0.021648199999999562,517.617877525277,0.025510699999999886,Q1000,D0
SD0Q1000_7,SD0Q1000,0.6415527343000813,0.022732799999999997,577.6009206512357,0.021881999999999735,Q1000,D0
SD0Q1000_8,SD0Q1000,0.5766793132236144,0.02981619999999996,418.3177486722376,0.028430900000000037,Q1000,D0
SD0Q1000_9,SD0Q1000,0.4484044976327926,0.023158900000000315,474.60071642056977,0.02694770000000002,Q1000,D0
SD0Q100_0,SD0Q100,5.918305464849199,0.03095300000000023,4935.2155967902545,0.02088599999999996,Q100,D0
SD0Q100_1,SD0Q100,4.890050519302103,0.0212197999999999,4693.701661276036,0.020105499999999665,Q100,D0
SD0Q100_2,SD0Q100,5.8230563799887305,0.020688999999999957,5599.860143380055,0.019353299999999685,Q100,D0
SD0Q100_3,SD0Q100,6.318526963831887,0.020551600000000114,4876.988610903625,0.022238500000000272,Q100,D0
SD0Q100_4,SD0Q100,5.515904853768105,0.023698600000000347,4926.606644286374,0.022818899999999864,Q100,D0
SD0Q100_5,SD0Q100,6.473944886051605,0.026424100000000728,4951.917580846326,0.019260899999999914,Q100,D0
SD0Q100_6,SD0Q100,5.837777381865211,0.027910099999999716,5564.613059840811,0.019582200000000327,Q100,D0
SD0Q100_7,SD0Q100,5.587359796715813,0.025079099999999244,4902.523803065981,0.03073430000000066,Q100,D0
SD0Q100_8,SD0Q100,5.768435860021367,0.022633400000000137,4665.432067771074,0.026617400000000124,Q100,D0
SD0Q100_9,SD0Q100,5.249364368332992,0.022053999999999796,5410.884535811631,0.019962500000000105,Q100,D0
SD0Q10_0,SD0Q10,4.258595215653211,0.02509180000000022,3608.089293892538,0.019786700000000046,Q10,D0
SD0Q10_1,SD0Q10,3.740800897533268,0.02480379999999993,2698.5981665792956,0.019763600000000103,Q10,D0
SD0Q10_2,SD0Q10,3.8095464707795017,0.020794000000000423,3428.3356637771053,0.021970399999999835,Q10,D0
SD0Q10_3,SD0Q10,3.250748189311601,0.0248134999999996,2901.4253242384916,0.022005500000000566,Q10,D0
SD0Q10_4,SD0Q10,4.723295977653309,0.026495899999999573,3046.046670983968,0.021672499999999317,Q10,D0
SD0Q10_5,SD0Q10,4.507058143886605,0.022426499999999905,3421.7335463283925,0.02037940000000038,Q10,D0
SD0Q10_6,SD0Q10,4.4441607660623506,0.02246000000000059,4911.739221630311,0.02472310000000011,Q10,D0
SD0Q10_7,SD0Q10,4.002744106208934,0.022649000000000363,3404.3766269761104,0.020850399999999603,Q10,D0
SD0Q10_8,SD0Q10,3.8526425026751707,0.02200880000000005,3208.2647381514157,0.024103000000000208,Q10,D0
SD0Q10_9,SD0Q10,3.6664578428053023,0.02626030000000057,2958.3062066609573,0.023980199999999563,Q10,D0
SD0Q1500_0,SD0Q1500,0.5714401249226536,0.0201905,494.8520009154892,0.028094699999999584,Q1500,D0
SD0Q1500_1,SD0Q1500,0.6625390637010926,0.026564699999999775,493.91551862303504,0.01937310000000103,Q1500,D0
SD0Q1500_2,SD0Q1500,0.5562308004509762,0.02544529999999945,434.0669646318998,0.0198905000000007,Q1500,D0
SD0Q1500_3,SD0Q1500,0.5756421205758474,0.024222099999999358,445.8872674907087,0.020620100000000363,Q1500,D0
SD0Q1500_4,SD0Q1500,0.6520544846605203,0.017844500000000707,674.012172754265,0.02487950000000083,Q1500,D0
SD0Q1500_5,SD0Q1500,0.5242662013913724,0.020149200000000533,409.350267231355,0.028505800000001358,Q1500,D0
SD0Q1500_6,SD0Q1500,0.45267006136117094,0.021051900000001567,388.2571271651115,0.01996489999999973,Q1500,D0
