Dataset id,SDG,pMSE,pMSE_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,0.027043967418094738,0.023401699999993752,Q1000,D0
SD0Q1000_1,SD0Q1000,0.016311097216185455,0.01516729999998745,Q1000,D0
SD0Q1000_2,SD0Q1000,0.023694792297440058,0.013737100000000169,Q1000,D0
SD0Q1000_3,SD0Q1000,0.030001945267558294,0.013340299999995864,Q1000,D0
SD0Q1000_4,SD0Q1000,0.022353458767388975,0.01049820000000068,Q1000,D0
SD0Q1000_5,SD0Q1000,0.016349165387751503,0.012639100000001235,Q1000,D0
SD0Q1000_6,SD0Q1000,0.01458102603744868,0.013322899999991478,Q1000,D0
SD0Q1000_7,SD0Q1000,0.015507693888226209,0.012281200000003878,Q1000,D0
SD0Q1000_8,SD0Q1000,0.015596001833304864,0.013396600000007197,Q1000,D0
SD0Q1000_9,SD0Q1000,0.015579324068978976,0.013248199999992494,Q1000,D0
SD0Q100_0,SD0Q100,0.11596335987675199,0.013714900000010743,Q100,D0
SD0Q100_1,SD0Q100,0.11184545829647471,0.013183699999999021,Q100,D0
SD0Q100_2,SD0Q100,0.11181250008899142,0.013536999999999466,Q100,D0
SD0Q100_3,SD0Q100,0.10874612811319122,0.0141303999999991,Q100,D0
SD0Q100_4,SD0Q100,0.11057752300288838,0.013991500000003043,Q100,D0
SD0Q100_5,SD0Q100,0.11268607936415949,0.012771700000001829,Q100,D0
SD0Q100_6,SD0Q100,0.10833902318505595,0.011955400000005056,Q100,D0
SD0Q100_7,SD0Q100,0.11612116840606815,0.014120599999998262,Q100,D0
SD0Q100_8,SD0Q100,0.10865047028324958,0.013184699999996496,Q100,D0
SD0Q100_9,SD0Q100,0.10771515711970184,0.01290760000000546,Q100,D0
SD0Q10_0,SD0Q10,0.09398401179191655,0.013838699999993764,Q10,D0
SD0Q10_1,SD0Q10,0.09250889378247798,0.012965600000001132,Q10,D0
SD0Q10_2,SD0Q10,0.09354772912779868,0.01289040000000341,Q10,D0
SD0Q10_3,SD0Q10,0.08166328360599737,0.014415199999987749,Q10,D0
SD0Q10_4,SD0Q10,0.09995906552257137,0.014594099999996502,Q10,D0
SD0Q10_5,SD0Q10,0.09623013534550738,0.013002999999997655,Q10,D0
SD0Q10_6,SD0Q10,0.09732815711251946,0.013575899999992203,Q10,D0
SD0Q10_7,SD0Q10,0.08628401460445341,0.012432899999993197,Q10,D0
SD0Q10_8,SD0Q10,0.08934403255658116,0.012906600000007984,Q10,D0
SD0Q10_9,SD0Q10,0.09324135289390255,0.013270000000005666,Q10,D0
SD0Q1500_0,SD0Q1500,0.014525589722357504,0.011420599999993897,Q1500,D0
SD0Q1500_1,SD0Q1500,0.014727710506719036,0.010381199999997648,Q1500,D0
SD0Q1500_2,SD0Q1500,0.01946539863126153,0.012969100000006506,Q1500,D0
SD0Q1500_3,SD0Q1500,0.017237085881793863,0.010576999999997838,Q1500,D0
SD0Q1500_4,SD0Q1500,0.01868655540849771,0.010435299999997483,Q1500,D0
SD0Q1500_5,SD0Q1500,0.01674334464537891,0.012684200000009582,Q1500,D0
SD0Q1500_6,SD0Q1500,0.01754901334963761,0.01271439999999302,Q1500,D0
SD0Q1500_7,SD0Q1500,0.013238848621283694,0.010142299999998272,Q1500,D0
SD0Q1500_8,SD0Q1500,0.010706120530202121,0.010149400000003084,Q1500,D0
SD0Q1500_9,SD0Q1500,0.01551281591243054,0.010081800000008911,Q1500,D0
